record_id,hospital_name,ward,supplier_name,category,item_name,received_date,expiry_date,shelf_life_days,days_until_expiry,is_expired,qty_received,qty_remaining,unit_cost_usd,waste_value_usd,procurement_month
REC00001,City General Hospital,Orthopedics,CarePlus Distributors,Pharmaceutical,Amoxicillin 500mg,2024-05-08,2025-08-12,461,72,False,396,94,401.75,0.0,2024-05
REC00002,Valley Care Hospital,Cardiology,PharmaDirect Ltd.,Pharmaceutical,Amoxicillin 500mg,2025-04-05,2026-05-13,403,346,False,337,25,322.92,0.0,2025-04
REC00003,Sunrise Clinic,ICU,MedLine Supplies Co.,IV Fluid,Ringer Lactate 1L,2025-05-19,2026-05-08,354,341,False,129,13,430.85,0.0,2025-05
REC00004,Metro Health Hub,ICU,NovaMed Solutions,IV Fluid,Normal Saline 500ml,2024-11-20,2025-06-10,202,9,False,324,41,437.97,17956.77,2024-11
REC00005,North Medical Center,General Ward,MedLine Supplies Co.,Diagnostic Kit,Urine Dipstick,2024-07-31,2024-12-03,125,-180,True,166,42,443.39,18622.38,2024-07
REC00006,City General Hospital,Orthopedics,PharmaDirect Ltd.,IV Fluid,Ringer Lactate 1L,2024-10-02,2025-09-28,361,119,False,393,34,316.56,0.0,2024-10
REC00007,City General Hospital,Emergency,MedLine Supplies Co.,PPE,Surgical Mask Box,2025-02-28,2027-02-15,717,624,False,335,28,308.86,0.0,2025-02
REC00008,Metro Health Hub,Emergency,GlobalMed Imports,Diagnostic Kit,Pregnancy Test Kit,2025-01-05,2025-09-13,251,104,False,305,50,398.4,0.0,2025-01
REC00009,North Medical Center,Orthopedics,CarePlus Distributors,Surgical Supply,Suture Kit 3-0,2024-05-06,2026-12-25,963,572,False,235,28,448.8,0.0,2024-05
REC00010,Valley Care Hospital,Cardiology,NovaMed Solutions,Pharmaceutical,Amoxicillin 500mg,2025-03-27,2026-02-26,336,270,False,355,8,174.68,0.0,2025-03
REC00011,North Medical Center,Cardiology,MedLine Supplies Co.,Diagnostic Kit,COVID Rapid Test,2024-06-08,2025-06-07,364,6,False,224,24,133.84,3212.16,2024-06
REC00012,North Medical Center,Orthopedics,NovaMed Solutions,Diagnostic Kit,Blood Glucose Strip,2024-09-05,2025-05-05,242,-27,True,361,30,70.9,2127.0,2024-09
REC00013,Valley Care Hospital,ICU,MedLine Supplies Co.,Pharmaceutical,Paracetamol 500mg,2024-12-08,2026-10-19,680,505,False,172,3,110.29,0.0,2024-12
REC00014,Valley Care Hospital,Cardiology,PharmaDirect Ltd.,IV Fluid,Normal Saline 500ml,2024-04-28,2025-09-27,517,118,False,331,21,121.11,0.0,2024-04
REC00015,City General Hospital,Oncology,MedLine Supplies Co.,PPE,Surgical Mask Box,2024-05-22,2026-02-10,629,254,False,281,15,113.44,0.0,2024-05
REC00016,Sunrise Clinic,ICU,NovaMed Solutions,PPE,Surgical Mask Box,2024-07-25,2025-08-24,395,84,False,167,4,407.68,0.0,2024-07
REC00017,Metro Health Hub,Emergency,MedLine Supplies Co.,Surgical Supply,Sterile Drape,2024-06-14,2026-01-19,584,232,False,292,31,353.62,0.0,2024-06
REC00018,City General Hospital,ICU,CarePlus Distributors,Pharmaceutical,Insulin Glargine,2024-10-14,2026-04-09,542,312,False,394,83,442.91,0.0,2024-10
REC00019,North Medical Center,General Ward,MedLine Supplies Co.,Diagnostic Kit,COVID Rapid Test,2025-01-15,2026-01-14,364,227,False,266,23,127.15,0.0,2025-01
REC00020,Metro Health Hub,ICU,PharmaDirect Ltd.,IV Fluid,Normal Saline 500ml,2025-04-27,2026-01-17,265,230,False,298,61,98.15,0.0,2025-04
REC00021,Sunrise Clinic,Emergency,MedLine Supplies Co.,IV Fluid,Normal Saline 500ml,2024-11-04,2025-12-05,396,187,False,424,124,71.77,0.0,2024-11
REC00022,Valley Care Hospital,ICU,PharmaDirect Ltd.,PPE,N95 Mask,2024-05-05,2026-01-04,609,217,False,307,67,72.95,0.0,2024-05
REC00023,City General Hospital,Cardiology,NovaMed Solutions,Pharmaceutical,Paracetamol 500mg,2025-04-18,2026-06-12,420,376,False,346,76,20.28,0.0,2025-04
REC00024,Sunrise Clinic,Cardiology,GlobalMed Imports,PPE,Face Shield,2025-01-09,2026-05-24,500,357,False,252,16,303.08,0.0,2025-01
REC00025,City General Hospital,Emergency,GlobalMed Imports,Pharmaceutical,Amoxicillin 500mg,2024-09-30,2025-07-09,282,38,False,185,8,420.13,0.0,2024-09
REC00026,City General Hospital,Emergency,GlobalMed Imports,Diagnostic Kit,Blood Glucose Strip,2024-10-10,2025-10-05,360,126,False,468,76,419.46,0.0,2024-10
REC00027,Sunrise Clinic,Orthopedics,CarePlus Distributors,Pharmaceutical,Amoxicillin 500mg,2024-05-07,2025-04-11,339,-51,True,417,48,93.61,4493.28,2024-05
REC00028,Sunrise Clinic,Emergency,CarePlus Distributors,Diagnostic Kit,COVID Rapid Test,2025-04-05,2025-07-26,112,55,False,444,33,287.61,0.0,2025-04
REC00029,Valley Care Hospital,Orthopedics,PharmaDirect Ltd.,PPE,Disposable Gown,2024-08-08,2025-10-23,441,144,False,329,4,375.98,0.0,2024-08
REC00030,Sunrise Clinic,General Ward,NovaMed Solutions,IV Fluid,Dextrose 5% 1L,2025-05-01,2026-04-29,363,332,False,399,31,300.95,0.0,2025-05
REC00031,Metro Health Hub,General Ward,PharmaDirect Ltd.,IV Fluid,Dextrose 5% 1L,2025-01-21,2025-08-01,192,61,False,427,85,352.62,0.0,2025-01
REC00032,North Medical Center,Emergency,MedLine Supplies Co.,Diagnostic Kit,Blood Glucose Strip,2024-05-28,2024-09-14,109,-260,True,152,63,158.97,10015.11,2024-05
REC00033,Valley Care Hospital,Oncology,MedLine Supplies Co.,Surgical Supply,Scalpel Blade 22,2024-12-05,2026-02-14,436,258,False,310,51,306.58,0.0,2024-12
REC00034,Valley Care Hospital,ICU,CarePlus Distributors,Pharmaceutical,Amlodipine 5mg,2025-02-20,2026-05-17,451,350,False,226,40,197.79,0.0,2025-02
REC00035,North Medical Center,Oncology,CarePlus Distributors,PPE,Surgical Mask Box,2025-01-12,2026-10-05,631,491,False,462,137,309.87,0.0,2025-01
REC00036,Metro Health Hub,Pharmacy Store,GlobalMed Imports,Pharmaceutical,Insulin Glargine,2024-12-04,2026-04-19,501,322,False,208,42,185.26,0.0,2024-12
REC00037,Valley Care Hospital,General Ward,MedLine Supplies Co.,PPE,Surgical Mask Box,2025-02-13,2026-05-13,454,346,False,365,72,137.18,0.0,2025-02
REC00038,North Medical Center,Pharmacy Store,MedLine Supplies Co.,Diagnostic Kit,Urine Dipstick,2025-02-04,2025-10-16,254,137,False,276,27,231.25,0.0,2025-02
